Date,Test,Sample,Phage,Dilution,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Conc,Log.R,t,pHi,pHf,DOi,DOf
5/11/2018,DO,control,MS2,6,5,7,5,6,9,11,6,4,3,5,6.10E+06,,240,7.03,7.41,1.84,5.22
5/11/2018,DO,1.49,MS2,5,5,5,4,4,6,5,4,5,4,4,4.60E+05,1.122572003,240,7.03,7.53,1.49,5.41
5/11/2018,DO,2.58,MS2,5,4,6,9,8,8,8,8,9,6,7,7.30E+05,0.922006975,240,7.03,7.45,2.58,5.6
5/11/2018,DO,3.33,MS2,5,9,11,5,13,13,10,12,19,13,4,9.90E+05,0.78969464,240,7.03,7.49,3.33,5.7
5/11/2018,DO,4.34,MS2,5,9,13,12,10,9,9,13,13,12,8,1.08E+06,0.75190608,240,7.03,7.52,4.34,6.05
5/11/2018,DO,5.63,MS2,5,10,5,10,13,12,16,9,13,9,20,1.17E+06,0.717143973,240,7.03,7.54,5.63,6.83
5/11/2018,DO,6.45,MS2,5,9,9,8,11,11,16,17,13,10,8,1.12E+06,0.736111812,240,7.03,7.63,6.45,7.2
5/11/2018,DO,control,P22,6,6,7,11,14,12,9,8,7,12,17,1.03E+07,,240,7.03,7.41,1.84,5.22
5/11/2018,DO,1.49,P22,3,16,15,22,14,13,20,20,23,18,13,1.74E+04,2.772287976,240,7.03,7.53,1.49,5.41
5/11/2018,DO,2.58,P22,3,28,38,35,25,28,38,33,28,33,38,3.24E+04,2.502292214,240,7.03,7.45,2.58,5.6
5/11/2018,DO,3.33,P22,4,5,7,7,6,8,6,4,5,4,6,5.80E+04,2.249409231,240,7.03,7.49,3.33,5.7
5/11/2018,DO,4.34,P22,4,8,14,18,10,15,7,22,12,17,10,1.33E+05,1.888985584,240,7.03,7.52,4.34,6.05
5/11/2018,DO,5.63,P22,4,17,13,11,25,8,13,12,10,9,7,1.25E+05,1.915927212,240,7.03,7.54,5.63,6.83
5/11/2018,DO,6.45,P22,4,28,18,23,19,13,33,14,17,20,31,2.16E+05,1.678383474,240,7.03,7.63,6.45,7.2
8/7/2018,DO,control,MS2,5,25,26,18,31,22,37,18,37,22,20,2.56E+06,,240,7,7.49,2.23,1.28
8/7/2018,DO,0.3,MS2,2,1,2,4,3,2,4,1,1,4,4,2.60E+02,3.993266617,240,7,7.29,0.3,1.42
8/7/2018,DO,0.98,MS2,5,9,7,7,8,10,6,7,5,5,6,7.00E+05,0.563141925,240,7,7.71,0.98,1.37
8/7/2018,DO,1.23,MS2,4,14,18,26,20,18,18,13,14,16,24,1.81E+05,1.15056139,240,7,7.3,1.23,1.5
8/7/2018,DO,1.5,MS2,4,23,13,17,21,16,16,16,24,20,8,1.74E+05,1.167690717,240,7,7.36,1.5,1.77
8/7/2018,DO,1.65,MS2,4,15,13,22,16,14,29,16,20,12,12,1.69E+05,1.180353261,240,7,7.39,1.65,1.67
8/7/2018,DO,1.96,MS2,4,17,13,26,21,16,13,18,15,18,21,1.78E+05,1.157819963,240,7,7.4,1.96,1.9
8/7/2018,DO,2.69,MS2,4,27,14,14,23,20,12,28,14,19,17,1.88E+05,1.134082116,240,7,7.41,2.69,2.38
8/7/2018,DO,3.94,MS2,4,25,23,28,22,23,22,24,20,21,28,2.36E+05,1.035327962,240,7,7.51,3.94,2.76
8/7/2018,DO,control,P22,6,8,9,9,15,12,14,10,12,9,7,1.05E+07,,240,7,7.49,2.23,1.28
8/7/2018,DO,0.3,P22,2,5,6,6,4,6,5,9,9,9,7,6.60E+02,4.201645364,240,7,7.29,0.3,1.42
8/7/2018,DO,0.98,P22,5,11,11,12,10,13,15,13,13,6,8,1.12E+06,0.971971276,240,7,7.71,0.98,1.37
8/7/2018,DO,1.23,P22,4,13,14,21,17,14,14,21,15,12,16,1.57E+05,1.825289647,240,7,7.3,1.23,1.5
8/7/2018,DO,1.5,P22,4,36,26,29,33,28,11,11,13,15,34,2.36E+05,1.648277296,240,7,7.36,1.5,1.77
8/7/2018,DO,1.65,P22,4,31,26,31,33,27,27,19,30,32,23,2.79E+05,1.575585096,240,7,7.39,1.65,1.67
8/7/2018,DO,1.96,P22,4,17,31,25,24,21,12,12,8,17,13,1.80E+05,1.765916794,240,7,7.4,1.96,1.9
8/7/2018,DO,2.69,P22,4,28,38,23,40,40,45,45,47,28,31,3.65E+05,1.458896435,240,7,7.41,2.69,2.38
8/7/2018,DO,3.94,P22,4,34,48,27,47,36,31,50,42,41,49,4.05E+05,1.413734276,240,7,7.51,3.94,2.76
8/20/2018,DO,control,P22,5,14,15,9,10,10,13,11,17,17,75,1.91E+06,,240,6.99,7.3,1.08,1.42
8/20/2018,DO,1.06,P22,2,3,1,1,2,2,1,1,1,1,0,1.30E+02,4.167090015,240,6.99,7.28,1.06,1.2
8/20/2018,DO,1.5,P22,3,29,16,28,24,22,21,31,23,31,23,2.48E+04,1.886581686,240,6.99,7.27,1.5,2.5
8/20/2018,DO,1.92,P22,2,1,2,1,2,1,1,1,0,0,0,9.00E+01,4.326790858,240,6.99,7.27,1.92,1.63
8/20/2018,DO,2.53,P22,4,6,7,12,13,9,8,8,8,10,9,9.00E+04,1.326790858,240,6.99,7.33,2.53,3.51
8/20/2018,DO,3.02,P22,4,25,20,24,23,26,18,29,18,28,26,2.37E+05,0.906285021,240,6.99,7.37,3.02,3.53
8/20/2018,DO,3.73,P22,4,20,28,21,21,11,18,19,11,22,19,1.90E+05,1.002279766,240,6.99,7.42,3.73,5.02
8/20/2018,DO,4.77,P22,4,37,45,34,30,32,31,31,34,35,34,3.43E+05,0.745739247,240,6.99,7.52,4.77,3.08
8/22/2018,DO,control,P22,6,50,46,37,31,56,52,50,45,45,44,4.56E+07,,240,6.97,7.32,0.37,1.47
8/22/2018,DO,0.73,P22,2,14,13,20,10,14,11,12,11,14,14,1.33E+03,4.535113202,240,6.98,7.32,0.73,1.46
8/22/2018,DO,0.29,P22,2,26,30,35,26,39,28,31,40,55,31,3.41E+03,4.126210464,240,7.03,7.35,0.29,1.34
8/22/2018,DO,0.66,P22,3,22,16,26,17,21,29,22,23,19,19,2.14E+04,3.328551069,240,7.09,7.42,0.66,1.61
8/22/2018,DO,0.25,P22,4,12,16,19,12,12,6,10,8,10,7,1.12E+05,2.60974682,240,6.97,7.31,0.25,1.82
