Date,Test,Phage,Sample,Na2S2O3,Percent.Oxidation,Dilution,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Conc,Log.R,t,pHi,pHf,DOi,Cond
8/20/2018,Na2S2O3,P22,control,4,,5,32,40,58,44,79,63,29,49,73,72,5.39E+06,0,30,6.97,7.28,9.47,447
8/20/2018,Na2S2O3,P22,1,1,0.158,3,11,9,11,12,6,9,8,8,7,13,9.40E+03,2.76,30,6.97,7.34,9.47,447
8/20/2018,Na2S2O3,P22,2,1,0.18,2,28,40,41,46,27,38,35,29,31,31,3.46E+03,3.19,30,6.97,7.35,9.47,447
8/20/2018,Na2S2O3,P22,4,2,0.141,4,10,13,14,21,15,13,14,14,9,15,1.38E+05,1.59,30,6.97,7.32,9.47,447
8/20/2018,Na2S2O3,P22,5,4,0.099,5,24,32,13,23,40,40,25,34,34,37,3.02E+06,0.25,30,6.97,7.34,9.47,447
8/20/2018,Na2S2O3,P22,6,4,0.108,5,25,34,27,24,24,37,30,22,38,27,2.88E+06,0.27,30,6.97,7.32,9.47,447
8/16/2018,Na2S2O3,MS2,control,0.5,,5,37,28,29,29,32,29,21,32,20,26,2.83E+06,0,30,6.98,7.78,9.96,443
8/16/2018,Na2S2O3,MS2,1,0.5,0.654,5,10,11,10,10,12,13,16,10,8,7,1.07E+06,0.42,30,6.98,7.81,9.96,443
8/16/2018,Na2S2O3,MS2,2,0.5,0.522,5,10,16,13,14,15,11,16,12,12,19,1.38E+06,0.31,30,6.98,7.57,9.96,443
8/16/2018,Na2S2O3,MS2,3,0.25,0.684,5,14,7,10,18,15,17,8,11,14,15,1.29E+06,0.34,30,6.98,7.59,9.96,443
8/16/2018,Na2S2O3,MS2,4,0.25,0.686,4,41,31,51,59,25,50,41,37,31,43,4.09E+05,0.84,30,6.98,7.61,9.96,443
8/16/2018,Na2S2O3,MS2,5,0.05,0.846,4,28,32,21,21,14,24,38,26,41,19,2.64E+05,1.03,30,6.98,7.62,9.96,443
8/16/2018,Na2S2O3,MS2,6,0.05,0.82,4,24,46,18,17,17,19,27,15,30,25,2.38E+05,1.08,30,6.98,7.64,9.96,443
8/22/2018,Na2S2O3,MS2,control,2.5,,5,33,20,33,25,15,27,24,30,22,31,2.60E+06,0,30,7.01,7.43,7.99,418
8/22/2018,Na2S2O3,MS2,1,1.25,0.187,5,10,10,10,17,18,17,11,18,10,13,1.34E+06,0.29,30,7.01,7.39,7.99,418
8/22/2018,Na2S2O3,MS2,2,1.25,0.199,5,13,8,12,10,19,16,13,15,15,13,1.34E+06,0.29,30,7.01,7.38,7.99,418
8/22/2018,Na2S2O3,MS2,3,2.5,0.159,5,10,7,17,11,12,11,9,19,9,15,1.20E+06,0.34,30,7.01,7.46,7.99,418
8/22/2018,Na2S2O3,MS2,4,2.5,0.149,5,9,6,13,13,15,9,19,14,10,12,1.20E+06,0.34,30,7.01,7.41,7.99,418
8/22/2018,Na2S2O3,P22,control,2.5,,6,41,45,30,50,51,38,35,35,29,46,4.00E+07,0,30,7.01,7.43,7.99,418
8/22/2018,Na2S2O3,P22,1,1.25,0.187,3,14,13,13,14,10,14,19,11,11,14,1.33E+04,3.48,30,7.01,7.39,7.99,418
8/22/2018,Na2S2O3,P22,2,1.25,0.199,3,10,7,6,5,6,6,8,6,5,4,6.30E+03,3.8,30,7.01,7.38,7.99,418
8/22/2018,Na2S2O3,P22,3,2.5,0.159,4,23,27,28,26,39,48,30,26,24,25,2.96E+05,2.13,30,7.01,7.46,7.99,418
8/22/2018,Na2S2O3,P22,4,2.5,0.149,4,41,45,54,30,27,42,35,34,34,41,3.83E+05,2.02,30,7.01,7.41,7.99,418
