Date,Test,Sample,Phage,Dilution,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Conc,Log.R,t,pHi,pHf,DOi,Cond
6/18/2018,pH,control,MS2,5,4,9,19,9,9,11,11,12,9,9,1.02E+06,0,2880,7.24,7.84,8.61,372
6/18/2018,pH,8.03,MS2,5,9,9,20,18,13,6,13,12,14,14,1.28E+06,-0.098609798,2880,8.03,8.25,8.61,372
6/18/2018,pH,7.74,MS2,5,14,14,12,11,15,20,18,15,17,13,1.49E+06,-0.164586097,2880,7.74,8.29,8.61,372
6/18/2018,pH,7.52,MS2,4,41,53,24,39,68,59,31,51,37,48,4.51E+05,0.35442363,2880,7.52,8.11,8.61,372
6/18/2018,pH,7.24,MS2,4,39,34,50,16,35,41,26,26,18,20,3.05E+05,0.524300332,2880,7.24,7.61,8.61,372
6/18/2018,pH,6.99,MS2,3,22,15,6,11,10,12,23,14,29,20,1.62E+04,1.799085157,2880,6.99,7.43,8.61,372
6/18/2018,pH,6.76,MS2,3,16,20,17,16,16,12,13,20,14,16,1.60E+04,1.804480189,2880,6.76,7.83,8.61,372
6/18/2018,pH,6.53,MS2,2,33,15,25,26,29,27,22,32,30,19,2.58E+03,2.596980466,2880,6.53,7.51,8.61,372
6/18/2018,pH,6.23,MS2,2,1,1,0,0,0,0,0,0,0,0,2.00E+01,4.707570176,2880,6.23,6.74,8.61,372
6/18/2018,pH,5.95,MS2,2,1,0,0,0,0,0,0,0,0,0,1.00E+01,5.008600172,2880,5.95,6.89,8.61,372
6/18/2018,pH,control,P22,5,37,23,34,40,35,27,23,34,33,30,3.16E+06,0,2880,7.24,7.84,8.61,372
6/18/2018,pH,8.03,P22,5,10,7,10,10,8,10,8,11,5,10,8.90E+05,0.550297076,2880,8.03,8.25,8.61,372
6/18/2018,pH,7.74,P22,4,39,39,43,40,52,44,60,32,67,56,4.72E+05,0.825745084,2880,7.74,8.29,8.61,372
6/18/2018,pH,7.52,P22,4,9,18,18,21,15,17,17,14,15,16,1.60E+05,1.2955671,2880,7.52,8.11,8.61,372
6/18/2018,pH,7.24,P22,3,28,42,37,55,26,35,24,32,49,44,3.72E+04,1.929144143,2880,7.24,7.61,8.61,372
6/18/2018,pH,6.99,P22,2,12,19,6,20,16,15,8,16,16,21,1.49E+03,3.326500814,2880,6.99,7.43,8.61,372
6/18/2018,pH,6.76,P22,2,7,13,14,14,12,9,9,14,17,8,1.17E+03,3.431501221,2880,6.76,7.83,8.61,372
6/18/2018,pH,6.53,P22,2,14,17,10,15,12,16,22,13,14,16,1.49E+03,3.326500814,2880,6.53,7.51,8.61,372
6/18/2018,pH,6.23,P22,2,1,0,0,0,0,0,0,0,0,0,1.00E+01,5.499687083,2880,6.23,6.74,8.61,372
6/18/2018,pH,5.95,P22,2,1,0,0,0,0,0,0,0,0,0,1.00E+01,5.499687083,2880,5.95,6.89,8.61,372
8/1/2018,pH,control,MS2,5,8,8,12,11,6,6,6,10,11,10,8.80E+05,0,2881,7.2,7.6,9.3,398
8/1/2018,pH,8.27,MS2,5,5,7,6,5,4,7,5,5,2,4,5.00E+05,0.245512668,2881,8.27,8.46,9.3,398
8/1/2018,pH,7.99,MS2,5,13,8,6,5,7,6,4,5,8,8,7.00E+05,0.099384632,2881,7.99,8.26,9.3,398
8/1/2018,pH,7.8,MS2,4,29,18,25,20,51,23,25,26,26,23,2.66E+05,0.519601036,2881,7.8,8.46,9.3,398
8/1/2018,pH,7.6,MS2,4,38,25,26,18,32,25,40,26,28,36,2.94E+05,0.476135342,2881,7.6,7.98,9.3,398
8/1/2018,pH,7.39,MS2,4,23,17,31,16,24,26,33,21,26,26,2.43E+05,0.558876399,2881,7.39,7.83,9.3,398
8/1/2018,pH,7.2,MS2,4,27,23,14,16,14,10,13,14,17,21,1.69E+05,0.716595968,2881,7.2,7.84,9.3,398
8/1/2018,pH,6.9,MS2,3,15,19,14,30,24,17,21,12,15,25,1.92E+04,1.661181443,2881,6.9,7.4,9.3,398
8/1/2018,pH,6.68,MS2,2,16,19,17,18,15,32,16,14,24,16,1.87E+03,2.672641066,2881,6.68,7.4,9.3,398
8/1/2018,pH,control,P22,6,18,8,12,12,16,19,12,12,13,9,1.31E+07,0,2881,7.2,7.6,9.3,398
8/1/2018,pH,8.27,P22,5,57,56,71,47,55,45,50,43,48,70,5.42E+06,0.383272009,2881,8.27,8.46,9.3,398
8/1/2018,pH,7.99,P22,5,43,36,37,26,31,39,31,31,35,44,3.53E+06,0.56949659,2881,7.99,8.26,9.3,398
8/1/2018,pH,7.8,P22,5,26,37,23,30,27,27,25,23,29,28,2.75E+06,0.677938602,2881,7.8,8.46,9.3,398
8/1/2018,pH,7.6,P22,5,19,18,18,17,17,18,17,15,21,22,1.82E+06,0.857199908,2881,7.6,7.98,9.3,398
8/1/2018,pH,7.39,P22,5,15,11,18,11,12,14,11,11,10,10,1.23E+06,1.027366184,2881,7.39,7.83,9.3,398
8/1/2018,pH,7.2,P22,5,8,14,14,9,15,13,12,10,9,8,1.12E+06,1.068053273,2881,7.2,7.84,9.3,398
8/1/2018,pH,6.9,P22,4,17,27,23,21,14,20,20,15,16,20,1.93E+05,1.831713987,2881,6.9,7.4,9.3,398
8/1/2018,pH,6.68,P22,3,28,54,42,39,44,39,38,38,41,36,3.99E+04,2.5162984,2881,6.68,7.4,9.3,398
8/1/2018,pH,6.48,P22,2,28,24,35,29,21,16,30,23,22,22,2.50E+03,3.719331287,2881,6.48,7.05,9.3,398
8/1/2018,pH,6.28,P22,2,1,1,1,1,1,1,2,1,0,0,9.00E+01,5.163028786,2881,6.28,7.97,9.3,398
